,year,rank,song,artist
3570,1995,72,Get Over It,Eagles
3571,1995,73,Strong Enough,Sheryl Crow
3572,1995,74,Get Up On It,Keith Sweat (Featuring Kut Klose)
3573,1995,75,Redneck Stomp,Jeff Foxworthy
3574,1995,76,"Girl, You'll Be A Woman Soon (From ""Pulp Fiction"")",Urge Overkill
3575,1995,77,(I Could Only) Whisper Your Name,"Harry Connick, Jr."
3576,1995,78,Till You Love Me,Reba McEntire
3577,1995,79,Fade Into You,Mazzy Star
3578,1995,80,Biological Didn't Bother,Shaquille O'Neal
3579,1995,81,"I Can Go Deep (From ""A Low Down Dirty Shame"")",Silk
3580,1995,82,In The House Of Stone And Light,Martin Page
3581,1995,83,She Don't Use Jelly,The Flaming Lips
3582,1995,84,Tic Toc,Lords Of The Underground
3583,1995,85,Don't Say Goodbye Girl,Tevin Campbell
3584,1995,86,I Apologize,Anita Baker
3585,1995,87,But It's Alright,Huey Lewis & The News
3586,1995,88,Breakdown,Fu-Schnickens
3587,1995,89,Whutcha Want?,Nine
3588,1995,90,Promise Me,Lil Suzy
3589,1995,91,The Santa Claus Boogie,The Tractors
3590,1995,92,Out Of Tears,The Rolling Stones
3591,1995,93,(She's Got) Skillz,All-4-One
3592,1995,94,Pimp Of The Year,Dru Down
3593,1995,95,Body & Soul,Anita Baker
3594,1995,96,Bad Reputation,Freedy Johnston
3595,1995,97,Undone - The Sweater Song,Weezer
3596,1995,98,Missing You,Steve Perry
3597,1995,99,You Suck,The Murmurs
3598,1995,100,Picture Postcards From L.A.,Joshua Kadison
3599,1996,1,One Sweet Day,Mariah Carey & Boyz II Men
3600,1996,2,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
3601,1996,3,Hey Lover,LL Cool J
3602,1996,4,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
3603,1996,5,Diggin' On You,TLC
3604,1996,6,Free As A Bird,The Beatles
3605,1996,7,Breakfast At Tiffany's,Deep Blue Something
3606,1996,8,Fantasy,Mariah Carey
3607,1996,9,Before You Walk Out Of My Life/Like This And Like That,Monica
3608,1996,10,Name,Goo Goo Dolls
3609,1996,11,Missing,Everything But The Girl
3610,1996,12,You'll See,Madonna
3611,1996,13,One Of Us,Joan Osborne
3612,1996,14,I Got Id/Long Road,Pearl Jam
3613,1996,15,You Remind Me Of Something,R. Kelly
3614,1996,16,Runaway,Janet Jackson
3615,1996,17,Beautiful Life,Ace Of Base
3616,1996,18,Tell Me,Groove Theory
3617,1996,19,Tonite's Tha Night,Kris Kross
3618,1996,20,Anything,3T
3619,1996,21,Soon As I Get Home,Faith Evans
3620,1996,22,Bullet With Butterfly Wings,The Smashing Pumpkins
3621,1996,23,Back For Good,Take That
3622,1996,24,Too Hot,Coolio
3623,1996,25,As I Lay Me Down,Sophie B. Hawkins
3624,1996,26,Be My Lover,La Bouche
3625,1996,27,Time,Hootie & The Blowfish
3626,1996,28,Only Wanna Be With You,Hootie & The Blowfish
3627,1996,29,Who Can I Run To,Xscape
3628,1996,30,Kiss From A Rose,Seal
3629,1996,31,Love U 4 Life,Jodeci
3630,1996,32,Dreaming Of You,Selena
3631,1996,33,Set U Free,Planet Soul
3632,1996,34,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy
3633,1996,35,Carnival,Natalie Merchant
3634,1996,36,Roll To Me,Del Amitri
3635,1996,37,No One Else,Total
3636,1996,38,Blessed,Elton John
3637,1996,39,Hook,Blues Traveler
3638,1996,40,The World I Know,Collective Soul
3639,1996,41,Wonder,Natalie Merchant
3640,1996,42,"Natural One (From ""Kids"")",Folk Implosion
3641,1996,43,Run-Around,Blues Traveler
3642,1996,44,I'd Lie For You (And That's The Truth),Meat Loaf
3643,1996,45,Just Tah Let U Know,Eazy-E
3644,1996,46,I Remember,Boyz II Men
3645,1996,47,Nobody Knows,The Tony Rich Project
3646,1996,48,Waterfalls,TLC
3647,1996,49,December,Collective Soul
3648,1996,50,Get Together,Big Mountain
3649,1996,51,Cell Therapy,Goodie Mob
3650,1996,52,We Got It,Immature (Featuring Smooth)
3651,1996,53,Cruisin',D'Angelo
3652,1996,54,Danger,Blahzay Blahzay
3653,1996,55,"I Like It, I Love It",Tim McGraw
3654,1996,56,You Are Not Alone,Michael Jackson
3655,1996,57,Pretty Girl,Jon B
3656,1996,58,Where Ever You Are,Terry Ellis
3657,1996,59,Ridin' Low,L.A.D.
3658,1996,60,Comedown,Bush
3659,1996,61,Brokenhearted,Brandy
3660,1996,62,I'll Be There For You/This House Is Not A Home,The Rembrandts
3661,1996,63,Let's Play House,Tha Dogg Pound Featuring Michel'le
3662,1996,64,East 1999,Bone Thugs-N-Harmony
3663,1996,65,Do You Sleep?,Lisa Loeb & Nine Stories
3664,1996,66,I Will Remember You (Live),Sarah McLachlan
3665,1996,67,When Love & Hate Collide,Def Leppard
3666,1996,68,Come With Me,Shai
3667,1996,69,Macarena (Bayside Boys Mix),Los Del Rio
3668,1996,70,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah
3669,1996,71,Sexual Healing,Max-A-Million
3670,1996,72,Throw Your Hands Up,L.V.
3671,1996,73,Hooked On You,Silk
3672,1996,74,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain
3673,1996,75,Hurricane,The Click
3674,1996,76,Incarcerated Scarfaces/Ice Cream,Raekwon
3675,1996,77,It Matters To Me,Faith Hill
3676,1996,78,Just A Girl,No Doubt
3677,1996,79,Runnin',The Pharcyde
3678,1996,80,Ain't Nuthin' But A She Thing,Salt-N-Pepa
3679,1996,81,Boom Boom Boom,The Outhere Brothers
3680,1996,82,Magic Carpet Ride,The Mighty Dub Katz
3681,1996,83,Rosealia,Better Than Ezra
3682,1996,84,Fast Life,Kool G Rap
3683,1996,85,Throw Your Set In The Air,Cypress Hill
3684,1996,86,Where Do U Want Me To Put It,Solo
3685,1996,87,Fu-Gee-La,Fugees
3686,1996,88,A Mover La Colita,Artie The 1 Man Party
3687,1996,89,Solitude,Edwin McCain
3688,1996,90,Sentimental,Deborah Cox
3689,1996,91,We've Got It Goin' On,Backstreet Boys
3690,1996,92,Automatic Lover (Call For Love),Real McCoy
3691,1996,93,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell
3692,1996,94,Can't Be Really Gone,Tim McGraw
3693,1996,95,Sometimes I Miss You So Much (Dedicated To The Christ Consciousness),P.M. Dawn
3694,1996,96,"The Riddler (From ""Batman Forever"")",Method Man
3695,1996,97,1st Of Tha Month,Bone Thugs-N-Harmony
3696,1996,98,You Put A Move On My Heart,Quincy Jones Introducing Tamia
3697,1996,99,East Side Rendezvous,Frost
3698,1996,100,Cold World,Genius/GZA Featuring Inspektah Deck
3699,1997,1,Un-Break My Heart,Toni Braxton
3700,1997,2,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly
3701,1997,3,Don't Let Go (Love),En Vogue
3702,1997,4,No Diggity,BLACKstreet (Featuring Dr. Dre)
3703,1997,5,Nobody,Keith Sweat Featuring Athena Cage
3704,1997,6,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston
3705,1997,7,Mouth,Merril Bainbridge
3706,1997,8,I'm Still In Love With You,New Edition
3707,1997,9,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams
3708,1997,10,Macarena (Bayside Boys Mix),Los Del Rio
3709,1997,11,It's All Coming Back To Me Now,Celine Dion
3710,1997,12,Pony,Ginuwine
3711,1997,13,"Fly Like An Eagle (From ""Space Jam"")",Seal
3712,1997,14,"Last Night (From ""The Nutty Professor"")",Az Yet
3713,1997,15,When You Love A Woman,Journey
3714,1997,16,If It Makes You Happy,Sheryl Crow
3715,1997,17,Where Do You Go,No Mercy
3716,1997,18,What Kind Of Man Would I Be,Mint Condition
3717,1997,19,No Time,Lil' Kim Featuring Puff Daddy
3718,1997,20,I Love You Always Forever,Donna Lewis
3719,1997,21,This Is For The Lover In You,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels"
3720,1997,22,Falling,Montell Jordan
3721,1997,23,Street Dreams,Nas
3722,1997,24,"You Must Love Me (From ""Evita"")",Madonna
3723,1997,25,Twisted,Keith Sweat
3724,1997,26,Cold Rock A Party,MC Lyte
3725,1997,27,"Tell Me (From ""Eddie"")",Dru Hill
3726,1997,28,Foolish Games/You Were Meant For Me,Jewel
3727,1997,29,Change The World,Eric Clapton
3728,1997,30,This Is Your Night,Amber
3729,1997,31,Ooh Aah... Just A Little Bit,Gina G
3730,1997,32,You're Makin' Me High/Let It Flow,Toni Braxton
3731,1997,33,Come See Me,112
3732,1997,34,Between You And Me,dc Talk
3733,1997,35,Steelo,702
3734,1997,36,ATLiens,OutKast
3735,1997,37,Counting Blue Cars,Dishwalla
3736,1997,38,Never Leave Me Alone,Nate Dogg Featuring Snoop Doggy Dogg
3737,1997,39,Key West Intermezzo (I Saw You First),John Mellencamp
3738,1997,40,You Learn/You Oughta Know,Alanis Morissette
3739,1997,41,"Space Jam (From ""Space Jam"")",Quad City DJ's
3740,1997,42,When You're Gone/Free To Decide,The Cranberries
3741,1997,43,Let's Make A Night To Remember,Bryan Adams
3742,1997,44,Bow Down,Westside Connection
3743,1997,45,My Boo,Ghost Town DJ's
3744,1997,46,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",Mack 10 & Tha Dogg Pound
3745,1997,47,Thirty-Three,The Smashing Pumpkins
3746,1997,48,Loungin,LL Cool J
3747,1997,49,Knocks Me Off My Feet,Donell Jones
3748,1997,50,"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan"
3749,1997,51,If Your Girl Only Knew,Aaliyah
3750,1997,52,Without Love,Donna Lewis
3751,1997,53,I Like It,The Blackout Allstars
3752,1997,54,I'm Not Giving You Up,Gloria Estefan
3753,1997,55,If We Fall In Love Tonight,Rod Stewart
3754,1997,56,It's Your Body,Johnny Gill Featuring Roger Troutman
3755,1997,57,Macarena Christmas,Los Del Rio
3756,1997,58,Little Bitty,Alan Jackson
3757,1997,59,When Boy Meets Girl,Total
3758,1997,60,"How Could You (From ""Bulletproof"")",K-Ci & JoJo
3759,1997,61,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J
3760,1997,62,Barely Breathing,Duncan Sheik
3761,1997,63,Desperately Wanting,Better Than Ezra
3762,1997,64,I Fell In Love,Rockell
3763,1997,65,Sittin' On Top Of The World,Da Brat
3764,1997,66,Hero Of The Day,Metallica
3765,1997,67,"Bohemian Rhapsody (From ""High School High"")",The Braids
3766,1997,68,The Moment,Kenny G
3767,1997,69,Naked Eye,Luscious Jackson
3768,1997,70,Sugar Honey Ice Tea,Goodfellaz
3769,1997,71,Hit Me Off,New Edition
3770,1997,72,Jellyhead,Crush
3771,1997,73,Bittersweet Me,R.E.M.
3772,1997,74,Let's Ride,Richie Rich
3773,1997,75,God Bless The Child,Shania Twain
3774,1997,76,Tonight Is The Night,Le Click
3775,1997,77,Nowhere To Go,Melissa Etheridge
3776,1997,78,Every Light In The House,Trace Adkins
3777,1997,79,Friends,John Michael Montgomery
3778,1997,80,I Can Make It Better,Luther Vandross
3779,1997,81,At Night I Pray,Wild Orchid
3780,1997,82,All I Want,Susanna Hoffs
3781,1997,83,I Luv U Baby,The Original
3782,1997,84,Da' Dip,Freak Nasty
3783,1997,85,One And One,Robert Miles Featuring Maria Nayler
3784,1997,86,"That Thing You Do! (From ""That Thing You Do!"")",The Wonders
3785,1997,87,"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard
3786,1997,88,Leavin',The Tony Rich Project
