,Unnamed: 0,date,rank,song,artist,gender,genre,genres
553,553,2021,54,Memory I Don't Mess With,Lee Brice,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
554,554,2021,55,Buy Dirt,Jordan Davis Featuring Luke Bryan,,,['contemporary country']
555,555,2021,56,Have Mercy,Chloe,,,[]
556,556,2021,57,Love All,Drake Featuring JAY-Z,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
557,557,2021,58,Whole Lotta Money,BIA Featuring Nicki Minaj,,,"['escape room', 'pop', 'r&b', 'rap latina', 'trap queen']"
558,558,2021,59,N 2 Deep,Drake Featuring Future,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
559,559,2021,60,Waves,Luke Bryan,,,"['chicago rap', 'rap']"
560,560,2021,61,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
561,561,2021,62,Woman,Doja Cat,,,"['dance pop', 'pop']"
562,562,2021,63,Lonely,DaBaby X Lil Wayne,,,"['canadian pop', 'pop']"
563,563,2021,64,Gyalis,Capella Grey,,,['pop rap']
564,564,2021,65,2055,Sleepy Hallow,,,"['brooklyn drill', 'nyc rap']"
565,565,2021,66,Papi's Home,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
566,566,2021,67,My Boy,Elvie Shane,,,"['art pop', 'electropop', 'pop']"
567,567,2021,68,Pipe Down,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
568,568,2021,69,Cold As You,Luke Combs,,,"['contemporary country', 'country']"
569,569,2021,70,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,,,['modern blues rock']
570,570,2021,71,On My Side,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
571,571,2021,72,Dead Right Now,Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
572,572,2021,73,Memory,Kane Brown X blackbear,,,"['black americana', 'contemporary country', 'country road']"
573,573,2021,74,Cold Heart (PNAU Remix),Elton John & Dua Lipa,,,"['glam rock', 'mellow gold', 'piano rock']"
574,574,2021,75,Volvi,Aventura x Bad Bunny,,,"['bachata', 'bachata dominicana', 'latin', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']"
575,575,2021,76,Moon,Kanye West,,,"['chicago rap', 'rap']"
576,576,2021,77,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
577,577,2021,78,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",,,"['alabama rap', 'pop r&b', 'pop rap', 'r&b', 'trap']"
578,578,2021,79,Life Support,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
579,579,2021,80,Love Nwantiti (Ah Ah Ah),CKay,,,['afro r&b']
580,580,2021,81,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
581,581,2021,82,Todo de Ti,Rauw Alejandro,,,"['puerto rican pop', 'trap latino']"
582,582,2021,83,You Should Probably Leave,Chris Stapleton,,,"['contemporary country', 'outlaw country']"
583,583,2021,84,Get Into It (Yuh),Doja Cat,,,"['dance pop', 'pop']"
584,584,2021,85,Yonaguni,Bad Bunny,,,"['latin', 'reggaeton', 'trap latino']"
585,585,2021,86,Tales Of Dominica,Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
586,586,2021,87,Summer Of Love,Shawn Mendes & Tainy,,,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
587,587,2021,88,One Of Me,Lil Nas X Featuring Elton John,,,"['lgbtq+ hip hop', 'pop']"
588,588,2021,89,Race My Mind,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
589,589,2021,90,Lost In The Citadel,Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
590,590,2021,91,Sun Goes Down,Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
