,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
7,2014,89,Talk Dirty,Jason Derulo Featuring 2 Chainz,,0.08,0.131,-0.9806,disgust,,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
8,2014,90,Perfume,Britney Spears,,0.101,0.192,-0.9807,anger,Female,"['dream smp', 'indie pop']"
9,2014,91,Bounce It,Juicy J Featuring Wale & Trey Songz,,0.056,0.083,-0.9839,trust,,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
10,2014,92,Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,,0.183,0.053,0.9883,joy,,"['contemporary country', 'country', 'country road', 'modern country rock', 'pop', 'post-teen pop']"
11,2014,93,Old School Love,Lupe Fiasco Featuring Ed Sheeran,,0.209,0.049,0.9992,anticipation,,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
12,2014,94,Worst Behavior,Drake,,0.103,0.339,-0.9997,disgust,Male,"['dance pop', 'pop']"
13,2014,95,Waiting For Superman,Daughtry,,0.158,0.044,0.9911,sadness,Male,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
14,2014,96,Survival,Eminem,,0.079,0.14,-0.9959,fear,Male,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
15,2014,97,Paranoid,Ty Dolla $ign Featuring B.o.B,,0.128,0.106,0.8784,trust,,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
16,2014,98,The Fox,Ylvis,,0.121,0.089,0.7187,joy,,['comic']
17,2014,99,Mine,Beyonce Featuring Drake,,0.102,0.083,0.9753,anticipation,,"['dance pop', 'electropop', 'pop']"
18,2014,100,I Hold On,Dierks Bentley,,0.248,0.04,0.9975,trust,Male,"['contemporary country', 'country', 'country road']"
19,2015,1,Blank Space,Taylor Swift,,0.151,0.176,-0.9085,fear,Female,['pop']
0,2015,2,Take Me To Church,Hozier,,0.203,0.19,-0.4575,anticipation,Male,"['irish singer-songwriter', 'pop']"
1,2015,3,Uptown Funk!,Mark Ronson Featuring Bruno Mars,,0.067,0.016,0.9912,sadness,,"['dance pop', 'pop']"
2,2015,4,Thinking Out Loud,Ed Sheeran,,0.227,0.047,0.9975,joy,Male,"['pop', 'uk pop']"
3,2015,5,Lips Are Movin,Meghan Trainor,,0.073,0.049,0.8689,joy,Female,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
4,2015,6,I'm Not The Only One,Sam Smith,,0.041,0.142,-0.9791,fear,Male,"['dance pop', 'pop', 'uk pop']"
5,2015,7,Love Me Harder,Ariana Grande & The Weeknd,,0.278,0.025,0.9994,joy,,"['dance pop', 'pop']"
6,2015,8,Jealous,Nick Jonas,,0.144,0.228,-0.9803,anger,Male,['noise pop']
7,2015,9,Animals,Maroon 5,,0.183,0.092,0.9986,trust,Male,"['pop', 'pop rock']"
8,2015,10,All About That Bass,Meghan Trainor,,0.102,0.124,-0.7493,anticipation,Female,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
9,2015,11,Shake It Off,Taylor Swift,,0.094,0.419,-0.9998,sadness,Female,['pop']
10,2015,12,I Don't F**k With You,Big Sean Featuring E-40,,0.029,0.312,-0.9985,disgust,,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
11,2015,13,The Heart Wants What It Wants,Selena Gomez,,0.098,0.106,-0.4101,joy,Female,"['dance pop', 'pop', 'post-teen pop']"
12,2015,14,Wasted Love,Matt McAndrew,,0.194,0.185,0.9041,joy,Male,"['dance pop', 'edm', 'electro house', 'new french touch', 'pop', 'pop dance', 'tropical house']"
13,2015,15,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",,0.171,0.194,-0.9909,trust,,['k-pop']
14,2015,16,Habits (Stay High),Tove Lo,,0.077,0.1,-0.6527,anticipation,Female,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
15,2015,17,Tuesday,I LOVE MAKONNEN Featuring Drake,,0.044,0.097,-0.9821,anger,,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']"
16,2015,18,Waves,Mr. Probz,,0.148,0.177,-0.9085,sadness,Male,"['chicago rap', 'rap']"
17,2015,19,Don't,Ed Sheeran,,0.083,0.112,-0.9653,joy,Male,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']"
18,2015,20,Centuries,Fall Out Boy,,0.067,0.092,-0.8619,sadness,Male,"['emo', 'modern rock', 'rock']"
19,2015,21,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,,0.056,0.144,-0.97,anticipation,,['soundtrack']
0,2015,22,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",,0.077,0.028,0.9789,surprise,,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']"
1,2015,23,No Type,Rae Sremmurd,,0.119,0.086,0.4242,anger,Male,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2,2015,24,7/11,Beyonce,,0.075,0.031,0.9699,anger,,"['dance pop', 'pop', 'r&b']"
3,2015,25,Hot Boy,Bobby Shmurda,,0.106,0.171,-0.995,trust,Male,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
